SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,Edinburgh North and Leith,Male,35 to 39,Lower school qualifications,561
Individuals,Edinburgh North and Leith,Male,35 to 39,Upper school qualifications,361
Individuals,Edinburgh North and Leith,Male,35 to 39,Apprenticeship qualifications,122
Individuals,Edinburgh North and Leith,Male,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,528
Individuals,Edinburgh North and Leith,Male,35 to 39,Degree level qualifications or above,3198
Individuals,Edinburgh North and Leith,Male,40 to 44,All people aged 16 and over,4060
Individuals,Edinburgh North and Leith,Male,40 to 44,No qualifications,220
Individuals,Edinburgh North and Leith,Male,40 to 44,Lower school qualifications,476
Individuals,Edinburgh North and Leith,Male,40 to 44,Upper school qualifications,293
Individuals,Edinburgh North and Leith,Male,40 to 44,Apprenticeship qualifications,130
Individuals,Edinburgh North and Leith,Male,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,474
Individuals,Edinburgh North and Leith,Male,40 to 44,Degree level qualifications or above,2466
Individuals,Edinburgh North and Leith,Male,45 to 49,All people aged 16 and over,3379
Individuals,Edinburgh North and Leith,Male,45 to 49,No qualifications,290
Individuals,Edinburgh North and Leith,Male,45 to 49,Lower school qualifications,465
Individuals,Edinburgh North and Leith,Male,45 to 49,Upper school qualifications,238
Individuals,Edinburgh North and Leith,Male,45 to 49,Apprenticeship qualifications,143
Individuals,Edinburgh North and Leith,Male,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,348
Individuals,Edinburgh North and Leith,Male,45 to 49,Degree level qualifications or above,1895
Individuals,Edinburgh North and Leith,Male,50 to 54,All people aged 16 and over,3328
Individuals,Edinburgh North and Leith,Male,50 to 54,No qualifications,352
Individuals,Edinburgh North and Leith,Male,50 to 54,Lower school qualifications,490
Individuals,Edinburgh North and Leith,Male,50 to 54,Upper school qualifications,294
Individuals,Edinburgh North and Leith,Male,50 to 54,Apprenticeship qualifications,194
Individuals,Edinburgh North and Leith,Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,336
Individuals,Edinburgh North and Leith,Male,50 to 54,Degree level qualifications or above,1662
Individuals,Edinburgh North and Leith,Male,55 to 59,All people aged 16 and over,3260
Individuals,Edinburgh North and Leith,Male,55 to 59,No qualifications,502
Individuals,Edinburgh North and Leith,Male,55 to 59,Lower school qualifications,441
Individuals,Edinburgh North and Leith,Male,55 to 59,Upper school qualifications,251
Individuals,Edinburgh North and Leith,Male,55 to 59,Apprenticeship qualifications,220
Individuals,Edinburgh North and Leith,Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,307
Individuals,Edinburgh North and Leith,Male,55 to 59,Degree level qualifications or above,1535
Individuals,Edinburgh North and Leith,Male,60 to 64,All people aged 16 and over,2751
Individuals,Edinburgh North and Leith,Male,60 to 64,No qualifications,405
Individuals,Edinburgh North and Leith,Male,60 to 64,Lower school qualifications,328
Individuals,Edinburgh North and Leith,Male,60 to 64,Upper school qualifications,220
Individuals,Edinburgh North and Leith,Male,60 to 64,Apprenticeship qualifications,321
Individuals,Edinburgh North and Leith,Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,231
Individuals,Edinburgh North and Leith,Male,60 to 64,Degree level qualifications or above,1246
Individuals,Edinburgh North and Leith,Male,65 to 69,All people aged 16 and over,2141
Individuals,Edinburgh North and Leith,Male,65 to 69,No qualifications,376
Individuals,Edinburgh North and Leith,Male,65 to 69,Lower school qualifications,233
Individuals,Edinburgh North and Leith,Male,65 to 69,Upper school qualifications,165
Individuals,Edinburgh North and Leith,Male,65 to 69,Apprenticeship qualifications,252
Individuals,Edinburgh North and Leith,Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,152
Individuals,Edinburgh North and Leith,Male,65 to 69,Degree level qualifications or above,969
Individuals,Edinburgh North and Leith,Male,70 to 74,All people aged 16 and over,1758
Individuals,Edinburgh North and Leith,Male,70 to 74,No qualifications,364
Individuals,Edinburgh North and Leith,Male,70 to 74,Lower school qualifications,145
Individuals,Edinburgh North and Leith,Male,70 to 74,Upper school qualifications,116
Individuals,Edinburgh North and Leith,Male,70 to 74,Apprenticeship qualifications,222
Individuals,Edinburgh North and Leith,Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,103
Individuals,Edinburgh North and Leith,Male,70 to 74,Degree level qualifications or above,810
Individuals,Edinburgh North and Leith,Male,75 to 79,All people aged 16 and over,1197
Individuals,Edinburgh North and Leith,Male,75 to 79,No qualifications,284
Individuals,Edinburgh North and Leith,Male,75 to 79,Lower school qualifications,96
Individuals,Edinburgh North and Leith,Male,75 to 79,Upper school qualifications,62
Individuals,Edinburgh North and Leith,Male,75 to 79,Apprenticeship qualifications,165
Individuals,Edinburgh North and Leith,Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,72
Individuals,Edinburgh North and Leith,Male,75 to 79,Degree level qualifications or above,511
Individuals,Edinburgh North and Leith,Male,80 to 84,All people aged 16 and over,712
Individuals,Edinburgh North and Leith,Male,80 to 84,No qualifications,198
Individuals,Edinburgh North and Leith,Male,80 to 84,Lower school qualifications,75
Individuals,Edinburgh North and Leith,Male,80 to 84,Upper school qualifications,18
Individuals,Edinburgh North and Leith,Male,80 to 84,Apprenticeship qualifications,136
Individuals,Edinburgh North and Leith,Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,22
Individuals,Edinburgh North and Leith,Male,80 to 84,Degree level qualifications or above,263
Individuals,Edinburgh North and Leith,Male,85 and over,All people aged 16 and over,614
Individuals,Edinburgh North and Leith,Male,85 and over,No qualifications,184
Individuals,Edinburgh North and Leith,Male,85 and over,Lower school qualifications,62
Individuals,Edinburgh North and Leith,Male,85 and over,Upper school qualifications,26
Individuals,Edinburgh North and Leith,Male,85 and over,Apprenticeship qualifications,119
Individuals,Edinburgh North and Leith,Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,8
Individuals,Edinburgh North and Leith,Male,85 and over,Degree level qualifications or above,216
Individuals,Edinburgh South,All people aged 16 and over,Total,All people aged 16 and over,84617
Individuals,Edinburgh South,All people aged 16 and over,Total,No qualifications,7164
Individuals,Edinburgh South,All people aged 16 and over,Total,Lower school qualifications,10567
Individuals,Edinburgh South,All people aged 16 and over,Total,Upper school qualifications,11748
Individuals,Edinburgh South,All people aged 16 and over,Total,Apprenticeship qualifications,3155
Individuals,Edinburgh South,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,6870
Individuals,Edinburgh South,All people aged 16 and over,Total,Degree level qualifications or above,45108
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,All people aged 16 and over,5804
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,No qualifications,222
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,Lower school qualifications,1568
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,Upper school qualifications,3197
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,Apprenticeship qualifications,57
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,354
Individuals,Edinburgh South,All people aged 16 and over,16 to 19,Degree level qualifications or above,412
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,All people aged 16 and over,11723
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,No qualifications,154
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,Lower school qualifications,1208
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,Upper school qualifications,4326
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,Apprenticeship qualifications,219
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1218
Individuals,Edinburgh South,All people aged 16 and over,20 to 24,Degree level qualifications or above,4598
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,All people aged 16 and over,6799
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,No qualifications,197
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,Lower school qualifications,579
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,Upper school qualifications,411
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,Apprenticeship qualifications,173
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,639
Individuals,Edinburgh South,All people aged 16 and over,25 to 29,Degree level qualifications or above,4801
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,All people aged 16 and over,6714
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,No qualifications,214
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,Lower school qualifications,648
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,Upper school qualifications,367
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,Apprenticeship qualifications,178
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,614
Individuals,Edinburgh South,All people aged 16 and over,30 to 34,Degree level qualifications or above,4685
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,All people aged 16 and over,6282
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,No qualifications,219
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,Lower school qualifications,637
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,Upper school qualifications,356
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,Apprenticeship qualifications,162
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,543
Individuals,Edinburgh South,All people aged 16 and over,35 to 39,Degree level qualifications or above,4364
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,All people aged 16 and over,6223
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,No qualifications,257
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,Lower school qualifications,621
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,Upper school qualifications,353
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,Apprenticeship qualifications,136
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,521
Individuals,Edinburgh South,All people aged 16 and over,40 to 44,Degree level qualifications or above,4337
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,All people aged 16 and over,5676
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,No qualifications,319
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,Lower school qualifications,611
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,Upper school qualifications,352
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,Apprenticeship qualifications,148
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,493
Individuals,Edinburgh South,All people aged 16 and over,45 to 49,Degree level qualifications or above,3753
Individuals,Edinburgh South,All people aged 16 and over,50 to 54,All people aged 16 and over,6048
Individuals,Edinburgh South,All people aged 16 and over,50 to 54,No qualifications,479
Individuals,Edinburgh South,All people aged 16 and over,50 to 54,Lower school qualifications,753
