SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13231
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Owned: Total,9021
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Owned: Owned outright,4999
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4006
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),12
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),10
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3028
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Private rented: Total,1042
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1022
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Private rented: Other,20
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 50 to 64,Lives Rent Free,139
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,15036
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Owned: Total,11447
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Owned: Owned outright,10424
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,950
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),23
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2582
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Private rented: Total,672
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,631
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Private rented: Other,41
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 65 and over,Lives Rent Free,335
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,46321
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Owned: Total,28360
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Owned: Owned outright,18117
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,9977
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),98
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),165
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10157
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Private rented: Total,6596
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,6411
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Private rented: Other,188
Households,"Berwickshire, Roxburgh and Selkirk",All Household Reference Persons aged 16 and over,Lives Rent Free,1208
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5839
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Owned: Total,2006
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Owned: Owned outright,331
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1632
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),10
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),33
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2029
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Private rented: Total,1634
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1588
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Private rented: Other,42
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person ages 16 to 34,Lives Rent Free,174
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,8884
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Owned: Total,4709
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Owned: Owned outright,990
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,3641
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),18
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),64
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2396
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Private rented: Total,1568
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1533
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Private rented: Other,35
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 35 to 49,Lives Rent Free,211
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14597
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Owned: Total,9592
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Owned: Owned outright,5586
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3952
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),33
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),21
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2823
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Private rented: Total,1896
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1846
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Private rented: Other,50
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 50 to 64,Lives Rent Free,288
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,17001
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Owned: Total,12057
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Owned: Owned outright,11212
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,755
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),37
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2909
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Private rented: Total,1498
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,1437
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Private rented: Other,61
Households,"Berwickshire, Roxburgh and Selkirk",Household Reference Person is aged 65 and over,Lives Rent Free,538
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,41117
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Owned: Total,27441
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Owned: Owned outright,15491
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11756
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),62
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),132
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9048
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Private rented: Total,4097
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3981
Households,Central Ayrshire,All Household Reference Persons aged 16 and over,Private rented: Other,116
